## 表1：每只基金 → 穿透重仓个股的占用资金 & 今日盈亏

### 中欧新蓝筹A（166002）估算规模=8.7万 股票账户=6.6万 估算涨跌=-0.47% 今日盈亏=-120.67元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 牧原股份 | 5179 | -0.43% | -22.27 |
| 万华化学 | 4654 | -0.77% | -35.84 |
| 中际旭创 | 2954 | +0.28% | +8.27 |
| 春秋航空 | 2383 | -0.25% | -5.96 |
| 中国船舶 | 2364 | -2.83% | -66.89 |
| 巨星农牧 | 1872 | +0.27% | +5.06 |
| 贵州茅台 | 1713 | -1.03% | -17.64 |
| 紫金矿业 | 1686 | +1.11% | +18.72 |
| 中远海能 | 1627 | -0.79% | -12.85 |
| 通策医疗 | 1407 | +0.62% | +8.73 |

### 富国互联科技A（006751）估算规模=7.0万 股票账户=6.1万 估算涨跌=+1.76% 今日盈亏=+537.67元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 沪电股份 | 5487 | +2.76% | +151.43 |
| 立讯精密 | 5420 | +1.88% | +101.89 |
| 中际旭创 | 4795 | +0.28% | +13.42 |
| 天孚通信 | 3344 | +7.40% | +247.46 |
| 中国核电 | 2670 | -1.00% | -26.70 |
| 中国移动 | 2640 | -1.06% | -27.98 |
| 亿联网络 | 2634 | +0.63% | +16.59 |
| 广立微 | 1948 | +3.32% | +64.68 |
| 新易盛 | 1560 | -0.20% | -3.12 |

### 兴全趋势投资（163402）估算规模=9.9万 股票账户=9.2万 估算涨跌=+2.17% 今日盈亏=+1008.53元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 北方华创 | 8932 | +2.77% | +247.41 |
| 顺络电子 | 6232 | +0.47% | +29.29 |
| 保利发展 | 5820 | +2.12% | +123.39 |
| 美的集团 | 4887 | -1.37% | -66.95 |
| 国网信通 | 4045 | +3.15% | +127.41 |
| 立讯精密 | 3871 | +1.88% | +72.77 |
| 宁德时代 | 3477 | +4.81% | +167.27 |
| 招商蛇口 | 3386 | +3.45% | +116.82 |
| 海螺水泥 | 3029 | -0.95% | -28.78 |
| 兴森科技 | 2901 | +7.58% | +219.89 |

### 嘉实沪港深回报（004477）估算规模=6.0万 股票账户=5.1万 估算涨跌=-0.06% 今日盈亏=-7.29元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 太阳纸业 | 3268 | +0.54% | +17.65 |
| 春秋航空 | 2990 | -0.25% | -7.48 |
| 紫金矿业 | 2908 | +1.11% | +32.28 |
| 常熟银行 | 2604 | -1.91% | -49.74 |

### 富国沪港深价值精选A（001371）估算规模=5.2万 股票账户=4.1万 估算涨跌=-1.02% 今日盈亏=-32.18元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 贵州茅台 | 2046 | -1.03% | -21.07 |
| 中国核电 | 1111 | -1.00% | -11.11 |

### 中欧价值发现A（166005）估算规模=2.9万 股票账户=2.7万 估算涨跌=+3.73% 今日盈亏=+94.36元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 宁波华翔 | 2530 | +3.73% | +94.36 |

### 汇添富全球移动互联A（001668）估算规模=1.5万 股票账户=1.2万 估算涨跌=+0.00% 今日盈亏=+0.00元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|

### 景顺长城沪港深精选A（000979）估算规模=1.2万 股票账户=1.1万 估算涨跌=+1.11% 今日盈亏=+10.79元

| 个股 | 占用资金(元) | 今日涨跌 | 盈亏(元) |
|------|------------|---------|---------|
| 紫金矿业 | 972 | +1.11% | +10.79 |
